id,dim_0,dim_1,dim_2
1,25.000000,27.000000,24.000000
2,24.000000,26.000000,23.000000
3,21.000000,23.000000,20.000000
4,21.000000,23.000000,20.000000
5,21.000000,23.000000,20.000000
6,22.000000,24.000000,21.000000
7,23.000000,25.000000,22.000000
8,23.000000,25.000000,22.000000
9,23.000000,25.000000,22.000000
10,23.000000,25.000000,22.000000
11,23.000000,25.000000,22.000000
12,22.000000,24.000000,21.000000
13,22.000000,24.000000,21.000000
14,22.000000,24.000000,21.000000
15,22.000000,24.000000,21.000000
16,22.000000,24.000000,21.000000
17,22.000000,24.000000,21.000000
18,23.000000,24.000000,22.000000
19,23.000000,23.000000,21.000000
20,22.000000,22.000000,20.000000
21,22.000000,22.000000,20.000000
22,22.000000,22.000000,20.000000
23,24.000000,24.000000,22.000000
24,22.000000,22.000000,20.000000
25,22.000000,22.000000,20.000000
26,22.000000,22.000000,20.000000
27,22.000000,22.000000,20.000000
28,22.000000,22.000000,20.000000
29,22.000000,22.000000,20.000000
30,22.000000,22.000000,20.000000
31,22.000000,22.000000,20.000000
32,22.000000,22.000000,20.000000
33,22.000000,22.000000,20.000000
34,22.000000,22.000000,20.000000
35,22.000000,22.000000,20.000000
36,21.000000,21.000000,19.000000
37,21.000000,21.000000,19.000000
38,21.000000,21.000000,19.000000
39,22.000000,22.000000,20.000000
40,22.000000,22.000000,20.000000
41,21.000000,22.000000,20.000000
42,20.000000,22.000000,19.000000
43,21.000000,23.000000,20.000000
44,22.000000,24.000000,21.000000
45,23.000000,25.000000,22.000000
46,24.000000,26.000000,23.000000
47,23.000000,25.000000,22.000000
48,20.000000,22.000000,19.000000
49,21.000000,23.000000,20.000000
50,24.000000,26.000000,23.000000
51,24.000000,26.000000,23.000000
52,19.000000,21.000000,18.000000
53,23.000000,23.000000,21.000000
54,24.000000,24.000000,22.000000
55,24.000000,24.000000,21.000000
56,24.000000,25.000000,20.000000
57,24.000000,25.000000,20.000000
58,25.000000,26.000000,20.000000
59,27.000000,24.000000,21.000000
60,28.000000,24.000000,21.000000
61,40.000000,36.000000,32.000000
62,56.000000,51.000000,45.000000
63,32.000000,27.000000,19.000000
64,29.000000,23.000000,15.000000
65,28.000000,19.000000,15.000000
66,26.000000,17.000000,13.000000
67,36.000000,27.000000,23.000000
68,31.000000,23.000000,19.000000
69,30.000000,21.000000,17.000000
70,34.000000,26.000000,22.000000
71,33.000000,25.000000,21.000000
72,34.000000,25.000000,21.000000
73,37.000000,29.000000,25.000000
74,39.000000,31.000000,27.000000
75,35.000000,27.000000,23.000000
76,27.000000,21.000000,13.000000
77,28.000000,23.000000,15.000000
78,31.000000,26.000000,20.000000
79,28.000000,24.000000,20.000000
80,27.000000,23.000000,20.000000
81,27.000000,24.000000,21.000000
82,22.000000,23.000000,17.000000
83,22.000000,23.000000,17.000000
84,21.000000,22.000000,17.000000
85,20.000000,21.000000,17.000000
86,20.000000,20.000000,18.000000
87,20.000000,20.000000,18.000000
88,19.000000,18.000000,16.000000
89,19.000000,18.000000,16.000000
90,20.000000,19.000000,17.000000
91,21.000000,20.000000,18.000000
92,21.000000,20.000000,18.000000
93,21.000000,20.000000,18.000000
94,20.000000,19.000000,17.000000
95,20.000000,19.000000,17.000000
96,20.000000,19.000000,17.000000
97,20.000000,19.000000,17.000000
98,20.000000,19.000000,17.000000
99,19.000000,18.000000,15.000000
100,18.000000,17.000000,13.000000
101,18.000000,17.000000,13.000000
102,18.000000,17.000000,13.000000
103,18.000000,17.000000,13.000000
104,18.000000,17.000000,13.000000
105,19.000000,18.000000,14.000000
106,19.000000,18.000000,14.000000
107,18.000000,17.000000,13.000000
108,17.000000,16.000000,12.000000
109,17.000000,16.000000,12.000000
110,17.000000,16.000000,12.000000
111,16.000000,15.000000,11.000000
112,16.000000,15.000000,11.000000
113,16.000000,15.000000,11.000000
114,16.000000,15.000000,11.000000
115,16.000000,15.000000,11.000000
116,16.000000,15.000000,11.000000
117,16.000000,15.000000,11.000000
118,15.000000,14.000000,10.000000
119,15.000000,14.000000,10.000000
120,14.000000,13.000000,9.000000
121,14.000000,13.000000,9.000000
122,14.000000,13.000000,9.000000
123,14.000000,13.000000,9.000000
124,14.000000,13.000000,9.000000
125,14.000000,13.000000,9.000000
126,14.000000,13.000000,9.000000
127,14.000000,13.000000,9.000000
128,13.000000,12.000000,8.000000
129,25.000000,27.000000,24.000000
130,25.000000,27.000000,24.000000
131,23.000000,25.000000,22.000000
132,22.000000,24.000000,21.000000
133,23.000000,25.000000,22.000000
134,24.000000,26.000000,23.000000
135,22.000000,24.000000,21.000000
136,22.000000,24.000000,21.000000
137,22.000000,24.000000,21.000000
138,22.000000,24.000000,21.000000
139,22.000000,24.000000,21.000000
140,22.000000,24.000000,21.000000
141,23.000000,25.000000,22.000000
142,22.000000,24.000000,21.000000
143,22.000000,24.000000,21.000000
144,22.000000,24.000000,21.000000
145,21.000000,23.000000,20.000000
146,22.000000,23.000000,20.000000
147,27.000000,27.000000,25.000000
148,23.000000,23.000000,21.000000
149,21.000000,21.000000,19.000000
150,24.000000,24.000000,22.000000
151,23.000000,23.000000,21.000000
152,23.000000,23.000000,21.000000
153,22.000000,22.000000,20.000000
154,22.000000,22.000000,20.000000
155,22.000000,22.000000,20.000000
156,22.000000,22.000000,20.000000
157,22.000000,22.000000,20.000000
158,22.000000,22.000000,20.000000
159,22.000000,22.000000,20.000000
160,22.000000,22.000000,20.000000
161,22.000000,22.000000,20.000000
162,22.000000,22.000000,20.000000
163,22.000000,22.000000,20.000000
164,20.000000,20.000000,18.000000
165,20.000000,20.000000,18.000000
166,21.000000,21.000000,19.000000
167,21.000000,21.000000,19.000000
168,21.000000,21.000000,19.000000
169,21.000000,22.000000,20.000000
170,21.000000,23.000000,20.000000
171,22.000000,24.000000,21.000000
172,23.000000,25.000000,22.000000
173,23.000000,25.000000,22.000000
174,23.000000,25.000000,22.000000
175,22.000000,24.000000,21.000000
176,20.000000,22.000000,19.000000
177,20.000000,22.000000,19.000000
178,23.000000,25.000000,22.000000
179,24.000000,26.000000,23.000000
180,20.000000,22.000000,19.000000
181,24.000000,25.000000,23.000000
182,25.000000,26.000000,21.000000
183,25.000000,26.000000,21.000000
184,25.000000,26.000000,20.000000
185,25.000000,26.000000,20.000000
186,25.000000,26.000000,20.000000
187,26.000000,22.000000,19.000000
188,33.000000,28.000000,25.000000
189,37.000000,32.000000,28.000000
190,34.000000,29.000000,23.000000
191,25.000000,18.000000,10.000000
192,35.000000,28.000000,21.000000
193,48.000000,42.000000,39.000000
194,73.000000,68.000000,65.000000
195,64.000000,58.000000,55.000000
196,61.000000,55.000000,52.000000
197,48.000000,43.000000,40.000000
198,43.000000,35.000000,31.000000
199,31.000000,22.000000,17.000000
200,28.000000,19.000000,14.000000
201,32.000000,23.000000,18.000000
202,38.000000,29.000000,24.000000
203,36.000000,27.000000,22.000000
204,29.000000,22.000000,14.000000
205,32.000000,25.000000,17.000000
206,34.000000,29.000000,23.000000
207,32.000000,27.000000,23.000000
208,28.000000,24.000000,21.000000
209,27.000000,23.000000,20.000000
210,23.000000,24.000000,18.000000
211,22.000000,23.000000,17.000000
212,21.000000,22.000000,17.000000
213,21.000000,22.000000,17.000000
214,20.000000,20.000000,18.000000
215,20.000000,20.000000,18.000000
216,19.000000,18.000000,16.000000
217,19.000000,18.000000,16.000000
218,20.000000,19.000000,17.000000
219,21.000000,20.000000,18.000000
220,21.000000,20.000000,18.000000
221,21.000000,20.000000,18.000000
222,20.000000,19.000000,17.000000
223,20.000000,19.000000,17.000000
224,20.000000,19.000000,17.000000
225,21.000000,20.000000,18.000000
226,21.000000,20.000000,18.000000
227,19.000000,18.000000,15.000000
228,18.000000,17.000000,13.000000
229,18.000000,17.000000,13.000000
230,18.000000,17.000000,13.000000
231,18.000000,17.000000,13.000000
232,18.000000,17.000000,13.000000
233,20.000000,19.000000,15.000000
234,20.000000,19.000000,15.000000
235,19.000000,18.000000,14.000000
236,18.000000,17.000000,13.000000
237,18.000000,17.000000,13.000000
238,17.000000,16.000000,12.000000
239,16.000000,15.000000,11.000000
240,16.000000,15.000000,11.000000
241,16.000000,15.000000,11.000000
242,16.000000,15.000000,11.000000
243,16.000000,15.000000,11.000000
244,16.000000,15.000000,11.000000
245,16.000000,15.000000,11.000000
246,15.000000,14.000000,10.000000
247,15.000000,14.000000,10.000000
248,14.000000,13.000000,9.000000
249,14.000000,13.000000,9.000000
250,14.000000,13.000000,9.000000
251,14.000000,13.000000,9.000000
252,14.000000,13.000000,9.000000
253,14.000000,13.000000,9.000000
254,14.000000,13.000000,9.000000
255,14.000000,13.000000,9.000000
256,13.000000,12.000000,8.000000
257,27.000000,29.000000,26.000000
258,27.000000,29.000000,26.000000
259,25.000000,27.000000,24.000000
260,24.000000,26.000000,23.000000
261,24.000000,26.000000,23.000000
262,26.000000,28.000000,25.000000
263,22.000000,24.000000,21.000000
264,22.000000,24.000000,21.000000
265,22.000000,24.000000,21.000000
266,22.000000,24.000000,21.000000
267,22.000000,24.000000,21.000000
268,22.000000,24.000000,21.000000
269,23.000000,25.000000,22.000000
270,23.000000,25.000000,22.000000
271,22.000000,24.000000,21.000000
272,21.000000,23.000000,20.000000
273,21.000000,23.000000,20.000000
274,22.000000,23.000000,21.000000
275,33.000000,33.000000,31.000000
276,25.000000,25.000000,23.000000
277,20.000000,20.000000,18.000000
278,25.000000,25.000000,23.000000
279,21.000000,21.000000,19.000000
280,22.000000,22.000000,20.000000
281,22.000000,22.000000,20.000000
282,22.000000,22.000000,20.000000
283,22.000000,22.000000,20.000000
284,22.000000,22.000000,20.000000
285,22.000000,22.000000,20.000000
286,22.000000,22.000000,20.000000
287,22.000000,22.000000,20.000000
288,22.000000,22.000000,20.000000
289,22.000000,22.000000,20.000000
290,22.000000,22.000000,20.000000
291,22.000000,22.000000,20.000000
292,20.000000,20.000000,18.000000
293,20.000000,20.000000,18.000000
294,21.000000,21.000000,19.000000
295,21.000000,21.000000,19.000000
296,21.000000,21.000000,19.000000
297,21.000000,22.000000,19.000000
298,22.000000,24.000000,21.000000
299,23.000000,25.000000,22.000000
300,24.000000,26.000000,23.000000
301,22.000000,24.000000,21.000000
302,20.000000,22.000000,19.000000
303,20.000000,22.000000,19.000000
