id,dim_0,dim_1,dim_2
1,136.000000,130.000000,114.000000
2,133.000000,127.000000,111.000000
3,126.000000,120.000000,104.000000
4,123.000000,116.000000,98.000000
5,128.000000,121.000000,103.000000
6,135.000000,128.000000,110.000000
7,140.000000,134.000000,117.000000
8,132.000000,129.000000,111.000000
9,132.000000,130.000000,114.000000
10,128.000000,126.000000,113.000000
11,124.000000,121.000000,111.000000
12,122.000000,119.000000,112.000000
13,132.000000,129.000000,122.000000
14,143.000000,140.000000,133.000000
15,156.000000,149.000000,141.000000
16,150.000000,143.000000,135.000000
17,139.000000,132.000000,124.000000
18,143.000000,137.000000,125.000000
19,146.000000,140.000000,128.000000
20,136.000000,133.000000,119.000000
21,129.000000,128.000000,112.000000
22,134.000000,129.000000,115.000000
23,135.000000,129.000000,111.000000
24,137.000000,130.000000,112.000000
25,141.000000,134.000000,116.000000
26,142.000000,133.000000,115.000000
27,139.000000,128.000000,115.000000
28,97.000000,86.000000,77.000000
29,90.000000,83.000000,81.000000
30,147.000000,140.000000,135.000000
31,156.000000,149.000000,142.000000
32,124.000000,119.000000,107.000000
33,126.000000,122.000000,103.000000
34,145.000000,140.000000,121.000000
35,148.000000,144.000000,125.000000
36,154.000000,149.000000,130.000000
37,153.000000,150.000000,130.000000
38,151.000000,148.000000,130.000000
39,151.000000,146.000000,131.000000
40,152.000000,147.000000,128.000000
41,151.000000,146.000000,127.000000
42,146.000000,140.000000,123.000000
43,151.000000,143.000000,128.000000
44,154.000000,147.000000,131.000000
45,152.000000,148.000000,130.000000
46,152.000000,149.000000,130.000000
47,151.000000,148.000000,129.000000
48,153.000000,151.000000,136.000000
49,151.000000,149.000000,134.000000
50,156.000000,154.000000,139.000000
51,153.000000,154.000000,140.000000
52,147.000000,148.000000,134.000000
53,149.000000,149.000000,137.000000
54,156.000000,153.000000,144.000000
55,158.000000,156.000000,144.000000
56,166.000000,161.000000,154.000000
57,166.000000,161.000000,155.000000
58,132.000000,127.000000,121.000000
59,134.000000,130.000000,121.000000
60,150.000000,146.000000,137.000000
61,127.000000,123.000000,114.000000
62,119.000000,114.000000,108.000000
63,156.000000,151.000000,145.000000
64,163.000000,157.000000,149.000000
65,159.000000,153.000000,142.000000
66,153.000000,151.000000,138.000000
67,156.000000,156.000000,146.000000
68,171.000000,176.000000,167.000000
69,181.000000,193.000000,184.000000
70,179.000000,184.000000,182.000000
71,150.000000,148.000000,142.000000
72,169.000000,163.000000,153.000000
73,165.000000,155.000000,143.000000
74,165.000000,155.000000,143.000000
75,169.000000,160.000000,147.000000
76,163.000000,155.000000,142.000000
77,165.000000,157.000000,143.000000
78,152.000000,146.000000,130.000000
79,163.000000,157.000000,143.000000
80,174.000000,167.000000,157.000000
81,182.000000,175.000000,167.000000
82,184.000000,177.000000,169.000000
83,179.000000,172.000000,164.000000
84,138.000000,129.000000,122.000000
85,84.000000,81.000000,71.000000
86,125.000000,124.000000,118.000000
87,156.000000,152.000000,150.000000
88,170.000000,166.000000,162.000000
89,180.000000,176.000000,171.000000
90,182.000000,179.000000,174.000000
91,174.000000,171.000000,166.000000
92,144.000000,139.000000,133.000000
93,113.000000,109.000000,99.000000
94,142.000000,138.000000,126.000000
95,139.000000,136.000000,121.000000
96,129.000000,130.000000,114.000000
97,110.000000,114.000000,102.000000
98,84.000000,95.000000,109.000000
99,51.000000,71.000000,118.000000
100,40.000000,58.000000,106.000000
101,36.000000,51.000000,94.000000
102,28.000000,42.000000,79.000000
103,24.000000,38.000000,73.000000
104,26.000000,40.000000,76.000000
105,28.000000,42.000000,79.000000
106,27.000000,39.000000,74.000000
107,27.000000,42.000000,72.000000
108,31.000000,48.000000,75.000000
109,29.000000,46.000000,74.000000
110,30.000000,47.000000,74.000000
111,32.000000,49.000000,75.000000
112,32.000000,49.000000,75.000000
113,32.000000,49.000000,74.000000
114,32.000000,47.000000,76.000000
115,29.000000,44.000000,74.000000
116,29.000000,44.000000,75.000000
117,30.000000,45.000000,77.000000
118,29.000000,45.000000,73.000000
119,29.000000,44.000000,71.000000
120,28.000000,43.000000,72.000000
121,27.000000,42.000000,71.000000
122,27.000000,42.000000,71.000000
123,27.000000,44.000000,74.000000
124,26.000000,46.000000,78.000000
125,26.000000,48.000000,79.000000
126,27.000000,51.000000,84.000000
127,29.000000,55.000000,89.000000
128,29.000000,57.000000,96.000000
129,143.000000,136.000000,122.000000
130,140.000000,133.000000,117.000000
131,134.000000,128.000000,111.000000
132,123.000000,116.000000,93.000000
133,138.000000,131.000000,109.000000
134,142.000000,135.000000,113.000000
135,148.000000,142.000000,122.000000
136,140.000000,138.000000,116.000000
137,140.000000,139.000000,118.000000
138,137.000000,136.000000,120.000000
139,128.000000,126.000000,114.000000
140,119.000000,116.000000,107.000000
141,121.000000,118.000000,110.000000
142,132.000000,129.000000,122.000000
143,144.000000,139.000000,131.000000
144,148.000000,142.000000,134.000000
145,132.000000,125.000000,117.000000
146,147.000000,141.000000,130.000000
147,145.000000,139.000000,127.000000
148,140.000000,137.000000,123.000000
149,134.000000,131.000000,116.000000
150,133.000000,127.000000,114.000000
151,135.000000,128.000000,111.000000
152,136.000000,129.000000,111.000000
153,138.000000,131.000000,113.000000
154,142.000000,134.000000,116.000000
155,139.000000,127.000000,110.000000
156,143.000000,127.000000,113.000000
157,78.000000,68.000000,55.000000
158,106.000000,97.000000,82.000000
159,80.000000,72.000000,59.000000
160,112.000000,104.000000,91.000000
161,141.000000,136.000000,113.000000
162,153.000000,149.000000,129.000000
163,151.000000,147.000000,130.000000
164,150.000000,146.000000,129.000000
165,148.000000,147.000000,127.000000
166,150.000000,148.000000,131.000000
167,150.000000,148.000000,132.000000
168,153.000000,149.000000,130.000000
169,153.000000,149.000000,130.000000
170,154.000000,148.000000,129.000000
171,157.000000,150.000000,132.000000
172,158.000000,151.000000,133.000000
173,156.000000,152.000000,134.000000
174,156.000000,154.000000,135.000000
175,157.000000,155.000000,136.000000
176,156.000000,156.000000,140.000000
177,140.000000,140.000000,124.000000
178,149.000000,149.000000,133.000000
179,151.000000,152.000000,138.000000
180,149.000000,150.000000,136.000000
181,147.000000,147.000000,134.000000
182,149.000000,147.000000,137.000000
183,153.000000,151.000000,143.000000
184,164.000000,160.000000,153.000000
185,119.000000,114.000000,107.000000
186,159.000000,154.000000,147.000000
187,164.000000,160.000000,152.000000
188,162.000000,158.000000,150.000000
189,160.000000,156.000000,148.000000
190,110.000000,103.000000,96.000000
191,79.000000,74.000000,67.000000
192,156.000000,152.000000,145.000000
193,156.000000,153.000000,145.000000
194,170.000000,169.000000,162.000000
195,192.000000,192.000000,189.000000
196,185.000000,195.000000,192.000000
197,140.000000,159.000000,155.000000
198,148.000000,157.000000,156.000000
199,167.000000,166.000000,163.000000
200,183.000000,174.000000,168.000000
201,173.000000,164.000000,152.000000
202,173.000000,163.000000,153.000000
203,171.000000,163.000000,152.000000
204,170.000000,163.000000,149.000000
205,165.000000,160.000000,140.000000
206,153.000000,148.000000,125.000000
207,160.000000,154.000000,137.000000
208,164.000000,158.000000,149.000000
209,176.000000,169.000000,161.000000
210,185.000000,178.000000,169.000000
211,177.000000,171.000000,162.000000
212,126.000000,123.000000,107.000000
213,58.000000,55.000000,50.000000
214,64.000000,59.000000,56.000000
215,139.000000,133.000000,126.000000
216,176.000000,172.000000,166.000000
217,184.000000,182.000000,176.000000
218,174.000000,171.000000,166.000000
219,175.000000,171.000000,167.000000
220,157.000000,153.000000,146.000000
221,138.000000,133.000000,123.000000
222,143.000000,139.000000,126.000000
223,128.000000,126.000000,108.000000
224,109.000000,109.000000,93.000000
225,84.000000,90.000000,97.000000
226,54.000000,74.000000,122.000000
227,38.000000,62.000000,113.000000
228,35.000000,51.000000,94.000000
229,32.000000,46.000000,86.000000
230,29.000000,39.000000,74.000000
231,26.000000,40.000000,71.000000
232,27.000000,40.000000,76.000000
233,28.000000,40.000000,80.000000
234,27.000000,35.000000,74.000000
235,28.000000,41.000000,70.000000
236,27.000000,43.000000,68.000000
237,27.000000,43.000000,69.000000
238,29.000000,43.000000,72.000000
239,30.000000,47.000000,78.000000
240,32.000000,49.000000,75.000000
241,31.000000,49.000000,69.000000
242,32.000000,48.000000,71.000000
243,30.000000,46.000000,73.000000
244,28.000000,43.000000,75.000000
245,27.000000,42.000000,74.000000
246,26.000000,41.000000,70.000000
247,26.000000,41.000000,69.000000
248,27.000000,41.000000,71.000000
249,27.000000,41.000000,71.000000
250,28.000000,41.000000,68.000000
251,27.000000,42.000000,71.000000
252,27.000000,44.000000,74.000000
253,26.000000,46.000000,78.000000
254,27.000000,50.000000,83.000000
255,29.000000,54.000000,89.000000
256,29.000000,57.000000,95.000000
257,145.000000,135.000000,126.000000
258,143.000000,134.000000,121.000000
259,143.000000,136.000000,116.000000
260,145.000000,141.000000,116.000000
261,146.000000,143.000000,118.000000
262,172.000000,169.000000,144.000000
263,182.000000,178.000000,156.000000
264,158.000000,155.000000,130.000000
265,140.000000,138.000000,113.000000
266,144.000000,143.000000,124.000000
267,135.000000,134.000000,120.000000
268,125.000000,124.000000,111.000000
269,119.000000,116.000000,106.000000
270,118.000000,115.000000,109.000000
271,127.000000,128.000000,120.000000
272,143.000000,141.000000,134.000000
273,159.000000,154.000000,148.000000
274,156.000000,151.000000,144.000000
275,150.000000,146.000000,135.000000
276,147.000000,142.000000,128.000000
277,144.000000,138.000000,123.000000
278,141.000000,135.000000,123.000000
279,140.000000,134.000000,118.000000
280,138.000000,132.000000,114.000000
281,141.000000,134.000000,117.000000
282,147.000000,141.000000,123.000000
283,152.000000,146.000000,125.000000
284,146.000000,140.000000,116.000000
285,121.000000,114.000000,91.000000
286,60.000000,55.000000,34.000000
287,104.000000,100.000000,79.000000
288,144.000000,139.000000,118.000000
289,149.000000,144.000000,126.000000
290,148.000000,142.000000,126.000000
291,144.000000,138.000000,123.000000
292,145.000000,138.000000,126.000000
293,148.000000,148.000000,130.000000
294,150.000000,149.000000,134.000000
295,151.000000,149.000000,138.000000
296,149.000000,150.000000,136.000000
297,156.000000,154.000000,138.000000
298,160.000000,155.000000,138.000000
299,162.000000,156.000000,140.000000
300,161.000000,155.000000,143.000000
301,158.000000,156.000000,143.000000
302,158.000000,157.000000,142.000000
303,153.000000,153.000000,134.000000
304,142.000000,143.000000,125.000000
305,137.000000,137.000000,120.000000
306,142.000000,143.000000,125.000000
307,140.000000,142.000000,128.000000
308,146.000000,148.000000,134.000000
309,146.000000,147.000000,133.000000
310,144.000000,143.000000,130.000000
311,145.000000,144.000000,131.000000
312,156.000000,150.000000,139.000000
313,146.000000,139.000000,129.000000
314,93.000000,86.000000,76.000000
315,151.000000,149.000000,144.000000
316,181.000000,178.000000,173.000000
317,155.000000,151.000000,145.000000
318,162.000000,152.000000,137.000000
319,119.000000,115.000000,101.000000
320,94.000000,95.000000,83.000000
321,175.000000,174.000000,167.000000
322,168.000000,167.000000,162.000000
323,182.000000,179.000000,182.000000
324,177.000000,187.000000,186.000000
325,151.000000,157.000000,157.000000
326,151.000000,149.000000,144.000000
327,144.000000,140.000000,129.000000
328,170.000000,165.000000,150.000000
329,181.000000,177.000000,169.000000
330,192.000000,188.000000,184.000000
331,182.000000,178.000000,173.000000
332,177.000000,173.000000,162.000000
333,167.000000,165.000000,146.000000
334,170.000000,165.000000,151.000000
335,159.000000,153.000000,141.000000
336,163.000000,157.000000,149.000000
337,170.000000,162.000000,151.000000
338,180.000000,175.000000,165.000000
339,184.000000,181.000000,175.000000
340,184.000000,180.000000,172.000000
341,183.000000,183.000000,173.000000
342,99.000000,99.000000,90.000000
343,42.000000,41.000000,32.000000
344,113.000000,114.000000,101.000000
345,182.000000,181.000000,174.000000
346,183.000000,180.000000,174.000000
347,159.000000,151.000000,148.000000
348,120.000000,119.000000,106.000000
349,137.000000,132.000000,117.000000
350,126.000000,119.000000,103.000000
351,117.000000,113.000000,93.000000
352,96.000000,96.000000,85.000000
353,61.000000,76.000000,99.000000
354,41.000000,59.000000,123.000000
355,41.000000,63.000000,102.000000
356,32.000000,47.000000,85.000000
357,30.000000,43.000000,77.000000
358,29.000000,38.000000,71.000000
359,30.000000,41.000000,73.000000
360,29.000000,40.000000,72.000000
361,28.000000,38.000000,71.000000
362,28.000000,36.000000,71.000000
363,26.000000,38.000000,72.000000
364,25.000000,38.000000,69.000000
365,26.000000,40.000000,68.000000
366,28.000000,42.000000,70.000000
367,29.000000,44.000000,76.000000
368,31.000000,47.000000,74.000000
369,32.000000,50.000000,69.000000
370,30.000000,46.000000,69.000000
371,28.000000,43.000000,69.000000
372,27.000000,42.000000,71.000000
373,27.000000,38.000000,70.000000
374,26.000000,37.000000,69.000000
375,26.000000,36.000000,68.000000
376,27.000000,36.000000,67.000000
377,28.000000,37.000000,68.000000
378,28.000000,39.000000,69.000000
379,26.000000,41.000000,70.000000
380,26.000000,43.000000,71.000000
381,27.000000,48.000000,80.000000
382,26.000000,51.000000,84.000000
383,30.000000,56.000000,92.000000
384,28.000000,56.000000,94.000000
385,142.000000,136.000000,124.000000
386,144.000000,138.000000,126.000000
387,151.000000,145.000000,133.000000
388,158.000000,156.000000,143.000000
389,188.000000,186.000000,173.000000
390,186.000000,184.000000,170.000000
391,201.000000,200.000000,184.000000
392,200.000000,199.000000,180.000000
393,158.000000,156.000000,137.000000
394,147.000000,143.000000,125.000000
395,144.000000,139.000000,126.000000
396,136.000000,134.000000,119.000000
397,127.000000,125.000000,111.000000
398,120.000000,118.000000,107.000000
399,114.000000,115.000000,107.000000
400,127.000000,125.000000,118.000000
401,145.000000,140.000000,134.000000
402,156.000000,151.000000,145.000000
403,157.000000,153.000000,142.000000
404,154.000000,149.000000,137.000000
405,153.000000,147.000000,134.000000
406,155.000000,149.000000,133.000000
407,149.000000,144.000000,130.000000
408,152.000000,147.000000,134.000000
409,149.000000,144.000000,131.000000
410,147.000000,143.000000,128.000000
411,149.000000,145.000000,127.000000
412,148.000000,145.000000,123.000000
413,152.000000,149.000000,122.000000
414,153.000000,147.000000,123.000000
415,147.000000,141.000000,120.000000
416,137.000000,132.000000,113.000000
417,140.000000,134.000000,120.000000
418,144.000000,138.000000,123.000000
419,148.000000,142.000000,128.000000
420,152.000000,146.000000,135.000000
421,152.000000,149.000000,138.000000
422,146.000000,148.000000,138.000000
423,132.000000,138.000000,130.000000
